URL,Description
https://www.buyritebeauty.com/pibbs-lumina-led-salon-mirror-storage-server-w-base/,"
Description


The Pibbs Lumina LED Salon Mirror & Storage Server w/ Base add a clean & modern touch to any salon, spa or barbershop. The extra-large, full-length mirror features a built-in dimmable LED light with an easily accessible on/off button, that will bring a refined glamour to your salon or spa. The wood server is available in black or white, and features durable metal bar pulls, 1 tool holder with wire access to keep the drawer closed while using your tools, 1 utility drawer, 2 spacious storage cabinets on the right side, and 2 large storage cabinets on the left side. Also, if you need an additional mirror to match this luxury styling station we offer the Pibbs Lumnina LED Salon Mirror. 
Features:

Extra-Large, Full-Length Mirror
Built-In Dimmable LED Light
Easy & Accessible On/Off Button
Clean & Modern Style
Pull-Out Tool Holder w/ Wire Access
2 Large Storage Cabinets on Left Side
1 Pull Out Tool Panel with Tool Holders on Right Side
1 Utility Drawer on Right Side
2 Spacious Storage Cabinets on Right Side
Small Footprint w/ Plenty of Storage
 


Read Reviews
"
https://www.buyritebeauty.com/pibbs-126-ecovap-professional-hair-steamer/,"
Description


Pibbs 126 EcoVap Professional Hair Steamer is a professional grade hair steamer that is 100% MADE IN ITALY. This model comes with a caster base making it easy to move around any salon or spa. The Pibbs 126 Hair steamer features a visible water reservoir and dissipater ring to adjust steam intensity. This professional hair steamer also has an easy to read 60 minute timer and temperature controllers, side handles, adjustable angle hood, and removable condensation reservoir. The Pibbs 126 Hair steamer also includes a measuring cup and funnel for easy filling. Buy this Hair Steamer and Never Buy Another One as this is a must have for any salon that does a high volume of color and chemicals.
Features:

Professional Grade Hair Steamer 100% MADE IN ITALY
Durable Caster Base for Easy Transport Around the Salon
Fully Height Adjustable Stand & Steamer Hood
60 Minute Timer & Temperature Control
Dissipater Ring to Adjust Steam Intensity
Includes Measuring Cup & Funnel for Easy Filling
Visible Water Reservoir to Promote Best Filling Practices 
 


Read Reviews
"
https://www.buyritebeauty.com/pibbs-127-ecovap-professional-hair-steamer-w-wall-mount/,"
Description


Pibbs 127 EcoVap Professional Hair Steamer w/ Wall Mount is a professional grade hair steamer that is 100% MADE IN ITALY. This model comes with a 6' extendable wall arm keeping it conveniently out of the way and making it great for small spaces. This wall-mount hair steamer is a huge space saver and is a necessity for any salon doing a large volume of color & chemicals. The Pibbs 127 EcoVap features a visible water reservoir to help promote best filling practices and a dissipater ring to adjust steam intensity. This professional hair steamer also has an easy to read 60 minute timer and temperature controllers, side handles, adjustable angle hood, and removable condensation reservoir. The Pibbs 127 Hair steamer also includes a measuring cup and funnel for easy filling. If you are a salon that processes a large volume of color or hydration treatments and looking for a great quality professional hair steamer, than this is the unit for you. *Expedited Shipping Available, Ask your Buy-Rite Sales Consultant
Features:

Professional Grade Hair Steamer 100% MADE IN ITALY
6' Extendable Wall Arm - Very Stylish & Convenient
60 Minute Timer & Temperature Control
Dissipater Ring to Adjust Steam Intensity 
Includes Measuring Cup & Funnel for Easy Filling
Visible Water Reservoir to Promote Best Filling Practices
Perfect for Small Salons & Spas Looking to Save Space
 


Read Reviews
"
https://www.buyritebeauty.com/pibbs-128-ecovap-ion-professional-hair-steamer/,"
Description


Pibbs 128 EcoVap Ion Professional Hair Steamer is a professional grade Ionic hair steamer that is 100% MADE IN ITALY. This model comes with a durable caster base making it easy to move around any salon or spa. The Ionic Hair Steamer is scientifically proven to break the water molecules into small negatively charges ions allowing the steam to penetrate into the clients hair deeper and faster. The Pibbs 128 Professional Hair Steamer features an easy to read 60 minute timer and temperature controllers, side handles, adjustable angle hood, and removable condensation reservoir. This unit also includes a measuring cup and funnel for easy filling. If you are looking for a high quality professional hair steamer that is built to last in a high volume salon environment, that this is the unit for you! *Expedited Shipping available, please ask your Buy-Rite sales consultant. 

Professional Grade Ionic Hair Steamer 100% MADE IN ITALY
Ionic Technology Proven to Penetrate Steam Deeper & Faster
Durable Caster Base for Easy Transport Around the Salon
Fully Height Adjustable Stand & Steamer Hood
60 Minute Timer & Temperature Control
Dissipater Ring to Adjust Steam Intensity
Includes Measuring Cup & Funnel for Easy Filling
 


Read Reviews
"
https://www.buyritebeauty.com/pibbs-129-ecovap-ion-professional-hair-steamer-w-wall-mount/,"
Description


Pibbs 129 EcoVap Ion Professional Hair Steamer w/ Wall Mount is a professional grade Ionic hair steamer that is 100% MADE IN ITALY. This model comes with a 6' extendable wall arm keeping it conveniently out of the way and making it perfect for any small salon looking to save space. The Ionic Hair Steamer is scientifically proven to break the water molecules into small negatively charges ions allowing the steam to penetrate into the client's hair deeper and faster. The Pibbs 129 EvoVap Ion features an easy to read 60 minute timer and temperature controllers, side handles, adjustable angle hood, and removable condensation reservoir. This professional hair steamer also includes a measuring cup and funnel for easy filling. If you are looking for a high quality hair steamer that is about to mount to the wall and will work well in a busy salon environment than you have found the one for you! *Expedited Shipping available, please ask your Buy-Rite sales consultant.
Features:

Professional Grade Ionic Hair Steamer 100% MADE IN ITALY
Ionic Technology Proven to Penetrate Steam Deeper & Faster
6' Extendable Wall Arm - Very Stylish & Convenient
Perfect for Any Salon or Spa Looking to Save Space
60 Minute Timer & Temperature Control
Dissipater Ring to Adjust Steam Intensity
Includes Measuring Cup & Funnel for Easy Filling
 


Read Reviews
"
https://www.buyritebeauty.com/pibbs-1813-sportster-race-car-kid-s-styling-chair/,"
Description


The Pibbs 1813 Sportster Race Car Kid's Styling Chair is made by Pibbs Industries which guarantees the utmost craftsmanship found in the salon equipment industry. This Race Car style children’s salon chair includes a steering wheel and is sure to bring a smile to any kid’s face. The Pibbs 1813 Sportster also features a full metal frame giving it far more durability than its plastic counterparts. This chair also comes with an upholstered seat cushion and comes on a Pibbs 23"" hydraulic round base. *Expedited Shipping is available, so please ask your Buy-Rite Sales Representative today!
Features:

Kid’s Salon Styling Chair
Full Metal Frame for Great Durability
Race Car Style w/ Steering Wheel
Seat belts Included for Child Safety
Comes Complete w/ a 23” Hydraulic Round Base
Upholstered Seat Cushion
 


Read Reviews
"
https://www.buyritebeauty.com/pibbs-3400-square-design-styling-chair/,"
Description


The Pibbs 2106 Matera Styling Chair is manufactured in the U.S.A. and is designed with durability, client comfort, and world-class style in mind. Available in 40 Custom Vinyl Colors, the Pibbs 2106 Matera Styling Chair features a cushioned Extra-Wide Seat, a Heavy-Duty Hydraulic Pump for easy adjustment of clients, two Durable Footrest options, and is embellished with Chic Quilted Vinyl on the arms & backrest. As part of the Pibbs Matera Family, the Pibbs 2106 Matera Styling Chair matches perfectly with the Matera Backwash Unit, and takes luxury to the next level by providing a chic, stylish touch to any salon.
Features:

Made in the U.S.A. by Pibbs Industries
Available in 40 Custom Vinyl Colors
Extra-Wide Seat for Client Comfort
Chic Quilted Vinyl Offers Beautiful Class Style
Multiple Heavy-Duty Hydraulic Base Options
Two Durable Metal Footrest Options
 


Read Reviews
"
https://www.buyritebeauty.com/pibbs-3400-tufted-styling-chair/,"
Description


The Pibbs 2206 Fondi Styling Chair is manufactured in the U.S.A. and is elegantly designed with client comfort, durability, and world-class style in mind. The Pibbs 2206 Fondi Styling Chair features a luxuriously cushioned Extra-Wide Seat, a Heavy-Duty Hydraulic Pump for easy adjustment of clients, two Durable Footrest options, and is embellished with Sumptuous Tufted Vinyl. Available in 40 vinyl colors, the Pibbs 2206 Fondi Styling Chair takes luxury to the next level by providing an elegant, classic touch to any salon. As part of the Pibbs Fondi Family, the Pibbs 2206 Fondi Styling Chair matches perfectly with the Fondi Backwash Unit and the Fondi Dryer Chair!
Features:

Manufactured in the U.S.A. by Pibbs Industries
Available in 40 Custom Vinyl Colors
Extra Wide Seat for Client Comfort
Heavy-Duty Hydraulic Pump w/ Multiple Options
Two Durable Footrest Options
Embellished w/ Tufted Vinyl for Beautiful Classic Design
 


Read Reviews
"
https://www.buyritebeauty.com/pibbs-2269-fondi-dryer-chair/,"
Description


The Pibbs 2269 Fondi Dryer Chair is 100% Manufactured in the U.S.A. and is designed with durability, client comfort, and world-class style in mind. This American Made Dryer Chair features a Luxuriously Cushioned Extra-Wide Seat with Extra-Wide Armrests designed for client comfort, a Rust Resistant Base for unmatched durability, and is embellished with Sumptuous Tufted Vinyl. The Pibbs 2269 Fondi Dryer Chair can accommodate any standard size box dryer or be customized to fit the Pibbs 514 or 516 dryer. As part of the Pibbs Fondi Family, this dryer chair matches perfectly with the Fondi Styling Chair and Fondi Backwash Unit. The Pibbs 2269 Fondi Dryer Chair provides outstanding comfort and durability, while adding an elegant, classic touch to any salon.
Features:

Made 100% in the U.S.A. by Pibbs Industries
Available in 40 Custom Vinyl Colors
Rust Resistant Metal Base for Unmatched Durability
Extra-Wide Seat for Client Comfort
Extra-Wide Armrests
Embellished w/ Tufted Vinyl
 


Read Reviews
"
https://www.buyritebeauty.com/pibbs-3169-luca-dryer-chair/,"
Description


The Pibbs 3169 Luca Dryer Chair is manufactured in the U.S.A. and is exclusively available at Buy-Rite Beauty! Available in 40 custom vinyl colors, this dryer chair features an extra-wide & durable seat for maximum client comfort, a rust resistant base, and upholstered metal armrests combining comfort and style. The back-dryer cut-out fits most salon dryers, and works perfectly with the X-tra Hot Dryer from Buy-Rite Beauty. This dryer chair is part of the exclusive to Buy-Rite Luca Collection by Pibbs, and matches perfectly with the Luca Styling Chair and Luca Backwash Unit. The Pibbs 3169 Luca Dryer Chair provides a luxurious experience for clients while adding a chic, modern touch to any salon.
Features:

Made in the U.S.A. by Pibbs Industries
Exclusively Available at Buy-Rite Beauty
Available in 40 Custom Vinyl Colors
Upholstered Metal Armrests combining Comfort and Style
Extra-Wide & Durable Seat for Maximum Client Comfort 
Great Durability & Longevity w/ Rust Resistant Metal Base
Back Dryer Cut-Out Fits Most Salon Dryers
 


Read Reviews
"
